x,SP Spherodex M
0.70288,1.95052
0.79911,1.5096
0.9027,1.09745
1.00672,0.7716
1.19711,0.19651
1.40537,-0.11962
1.608,-0.24397
1.8049,-0.39715

x,Cellufine sulfate
0.54031,2.28557
0.60258,1.97889
0.7074,1.53806
0.80425,0.93408
1.00028,0.16726
1.20482,-0.07206
1.40537,-0.44576
1.5978,-0.78116
1.8165,-1.03982
2.0129,-1.26018

x,EMD sulfonate M
0.50028,1.76738
0.59872,1.22108
0.69838,0.81861
0.794,0.41606
0.99388,-0.12052
1.19711,-0.36944
1.38745,-0.49376

x,SP-550 C
0.39457,1.78595
0.45147,1.30668
0.49708,0.96161
0.59489,0.4249
0.79911,-0.20742
0.99388,-0.44666
1.20482,-0.99292
1.39638,-1.13643

x,SP Sepharose FF
0.36068,1.89123
0.39966,1.55576
0.49708,1.00957
0.59489,0.4345
0.79911,0.0132
1.00028,-0.09173
1.19711,-0.28311
1.39638,-0.33067

x,SP-650 M
0.20117,1.88971
0.24076,1.18994
0.30137,0.5958
0.39966,-0.18045
0.60258,-0.74533
0.80425,-1.06112
