"x","basic pH 7","kprime","x",,0.481481481481481
62.391,1.72223,0.829221851851852,62.391,0.829221851851852,
69.039,1.11877,0.538667037037037,69.039,0.538667037037037,
74.692,0.83992,0.404405925925926,74.692,0.404405925925926,
,,,,,
"x","basic pH 6.5",,"x",,
100.424,2.03639,0.980484074074074,100.424,0.980484074074074,
108.445,1.27068,0.611808888888889,108.445,0.611808888888889,
116.241,0.90105,0.433838888888889,116.241,0.433838888888889,
,,,,,
"x","main pH 6.5",,"x",,
96.4,1.35431,0.652075185185185,96.4,0.652075185185185,
104.202,0.89378,0.430338518518518,104.202,0.430338518518518,
112.566,0.7125,0.343055555555555,112.566,0.343055555555555,
,,,,,
"x","main pH 7",,"x",,
58.53,1.42977,0.688407777777778,58.53,0.688407777777778,
61.856,1.10532,0.532191111111111,61.856,0.532191111111111,
66.924,0.85889,0.41353962962963,66.924,0.41353962962963,
71.986,0.6774,0.326155555555555,71.986,0.326155555555555,
