x,Q Sepharose XL
14.4555,1.7779
16.8397,2.5485
18.434,3.1757
20.184,4.2019
22.477,5.787
25.461,8.462
29.012,13.677

x,UNO Q-1
12.6286,0.23579
14.4606,0.29976
16.7434,0.36614
20.167,0.47487
25.425,0.783
33.925,1.5769

x,Poros 50 HQ
18.474,0.9757
20.225,1.2404
22.649,1.7082
25.231,2.5999
29.086,4.8335
33.739,10.975

x,Toyopearl QAE 550c
11.2181,0.19695
12.6339,0.27123
14.4709,0.38108
16.7662,0.58
20.207,0.9188

x,Separon HemaBio 1000Q
25.552,0.6283
28.777,0.8653
31.165,1.2654

x,Q-Cellthru Bigbeads Plus
12.6219,0.029451
20.173,0.07848
25.307,0.16124
28.811,0.19305
33.566,0.28801

x,Q Sepharose HP
20.215,1.0569
22.513,1.485
25.222,2.3059
29.076,4.2868
33.911,9.167

x,Toyopearl SuperQ 650c
20.24,1.6087
22.414,2.2155
25.392,3.3721
28.94,5.904
33.961,15.115
