x,SP Sepharose FF

x,CM Sepharose FF
1.00752,3.1842
1.0535,6.892
1.10719,20.767

x,Heparin Sepharose FF
0.57457,0.20767
0.61788,0.28912
0.66119,0.4025
0.69173,0.4495
0.71215,0.6087

x,SP Toyopearl 650m
0.92513,0.07486
1.02979,0.34114
1.16745,1.3175

x,CM Toyopearl 650m

x,Heparin Toyopearl 650m
0.57206,0.23837
0.61546,0.462
0.65886,0.8712
0.71251,2.2249
0.77389,8.359

x,S Ceramic HyperD 20
0.92799,0.23837
1.03237,0.3916

x,CM Ceramic HyperD F
0.71451,0.31406
0.77377,5.377
0.84272,16.202
0.92928,25.188

x,Heparin Ceramic HyperD M
0.61307,0.802
0.62839,1
0.6437,1.2129
0.66153,1.3922
