species,pH,log(cs[M]),log(GH[M])
monomer,5.5,-1.285893,-5.43914
monomer,5.5,-1.234776,-5.03168
monomer,5.5,-1.161725,-4.33556
monomer,5.8,-1.461633,-5.43965
monomer,5.8,-1.422374,-5.03223
monomer,5.8,-1.334926,-4.33607
monomer,6.1,-1.622976,-5.44013
monomer,6.1,-1.572284,-5.03062
monomer,6.1,-1.485682,-4.33651
hmw,5.5,-1.154193,-5.43875
hmw,5.5,-1.11705,-5.03134
hmw,5.5,-1.074914,-4.33531
hmw,5.8,-1.324852,-5.43925
hmw,5.8,-1.295332,-5.03186
hmw,5.8,-1.234987,-4.33373
hmw,6.1,-1.476455,-5.4397
hmw,6.1,-1.445664,-5.03434
hmw,6.1,-1.367956,-4.33616
